Date,UnitsSold,hashtag_count,avg_likes,InterestScore,weekday,month,lag_1,lag_7,lag_14,lag_30,rm_7,rm_30
2024-11-01,2.0,0,30.38888888888889,0.0,4,11,0.0,0.0,0.0,0.0,0.0,0.0
2024-11-02,7.0,0,28.225806451612904,0.0,5,11,2.0,0.0,0.0,0.0,2.0,2.0
2024-11-03,0.0,0,32.9375,0.0,6,11,7.0,0.0,0.0,0.0,4.5,4.5
2024-11-04,1.0,0,27.94736842105263,0.0,0,11,0.0,0.0,0.0,0.0,3.0,3.0
2024-11-05,1.0,0,26.75,0.0,1,11,1.0,0.0,0.0,0.0,2.5,2.5
2024-11-06,0.0,0,28.5625,0.0,2,11,1.0,0.0,0.0,0.0,2.2,2.2
2024-11-07,0.0,0,29.916666666666668,0.0,3,11,0.0,0.0,0.0,0.0,1.8333333333333333,1.8333333333333333
2024-11-08,2.0,0,27.692307692307693,0.0,4,11,0.0,2.0,0.0,0.0,1.5714285714285714,1.5714285714285714
2024-11-09,1.0,0,28.666666666666668,0.0,5,11,2.0,7.0,0.0,0.0,1.5714285714285714,1.625
2024-11-10,0.0,0,29.545454545454547,0.0,6,11,1.0,0.0,0.0,0.0,0.7142857142857143,1.5555555555555556
2024-11-11,1.0,0,26.307692307692307,0.0,0,11,0.0,1.0,0.0,0.0,0.7142857142857143,1.4
2024-11-12,2.0,0,27.692307692307693,0.0,1,11,1.0,1.0,0.0,0.0,0.7142857142857143,1.3636363636363635
2024-11-13,4.0,0,28.5,0.0,2,11,2.0,0.0,0.0,0.0,0.8571428571428571,1.4166666666666667
2024-11-14,3.0,0,29.57894736842105,0.0,3,11,4.0,0.0,0.0,0.0,1.4285714285714286,1.6153846153846154
2024-11-15,3.0,0,28.55,0.0,4,11,3.0,2.0,2.0,0.0,1.8571428571428572,1.7142857142857142
2024-11-16,3.0,0,27.363636363636363,0.0,5,11,3.0,1.0,7.0,0.0,2.0,1.8
2024-11-17,0.0,0,27.34375,0.0,6,11,3.0,0.0,0.0,0.0,2.2857142857142856,1.875
2024-11-18,8.0,0,25.555555555555557,0.0,0,11,0.0,1.0,1.0,0.0,2.2857142857142856,1.7647058823529411
2024-11-19,0.0,0,28.0,0.0,1,11,8.0,2.0,1.0,0.0,3.2857142857142856,2.111111111111111
2024-11-20,1.0,0,28.058823529411764,0.0,2,11,0.0,4.0,0.0,0.0,3.0,2.0
2024-11-21,1.0,0,29.846153846153847,0.0,3,11,1.0,3.0,0.0,0.0,2.5714285714285716,1.95
2024-11-22,2.0,0,27.285714285714285,0.0,4,11,1.0,3.0,2.0,0.0,2.2857142857142856,1.9047619047619047
2024-11-23,2.0,0,28.35,0.0,5,11,2.0,3.0,1.0,0.0,2.142857142857143,1.9090909090909092
2024-11-24,2.0,0,27.37037037037037,0.0,6,11,2.0,0.0,0.0,0.0,2.0,1.9130434782608696
2024-11-25,2.0,0,29.625,0.0,0,11,2.0,8.0,1.0,0.0,2.2857142857142856,1.9166666666666667
2024-11-26,4.0,0,27.266666666666666,0.0,1,11,2.0,0.0,2.0,0.0,1.4285714285714286,1.92
2024-11-27,1.0,0,27.833333333333332,0.0,2,11,4.0,1.0,4.0,0.0,2.0,2.0
