Date,UnitsSold,hashtag_count,avg_likes,InterestScore,weekday,month,lag_1,lag_7,lag_14,lag_30,rm_7,rm_30
2024-01-14,48.0,0.0,0.0,0.0,6,1,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-15,0.0,0.0,0.0,0.0,0,1,48.0,0.0,0.0,0.0,48.0,48.0
2024-01-16,0.0,0.0,0.0,0.0,1,1,0.0,0.0,0.0,0.0,24.0,24.0
2024-01-17,0.0,0.0,0.0,0.0,2,1,0.0,0.0,0.0,0.0,16.0,16.0
2024-01-18,0.0,0.0,0.0,0.0,3,1,0.0,0.0,0.0,0.0,12.0,12.0
2024-01-19,0.0,0.0,0.0,0.0,4,1,0.0,0.0,0.0,0.0,9.6,9.6
2024-01-20,0.0,0.0,0.0,0.0,5,1,0.0,0.0,0.0,0.0,8.0,8.0
2024-01-21,0.0,0.0,0.0,0.0,6,1,0.0,48.0,0.0,0.0,6.857142857142857,6.857142857142857
2024-01-22,5.0,0.0,0.0,0.0,0,1,0.0,0.0,0.0,0.0,0.0,6.0
2024-01-23,0.0,0.0,0.0,0.0,1,1,5.0,0.0,0.0,0.0,0.7142857142857143,5.888888888888889
2024-01-24,0.0,0.0,0.0,0.0,2,1,0.0,0.0,0.0,0.0,0.7142857142857143,5.3
2024-01-25,0.0,0.0,0.0,0.0,3,1,0.0,0.0,0.0,0.0,0.7142857142857143,4.818181818181818
2024-01-26,0.0,0.0,0.0,0.0,4,1,0.0,0.0,0.0,0.0,0.7142857142857143,4.416666666666667
2024-01-27,0.0,0.0,0.0,0.0,5,1,0.0,0.0,0.0,0.0,0.7142857142857143,4.076923076923077
2024-01-28,6.0,0.0,0.0,0.0,6,1,0.0,0.0,48.0,0.0,0.7142857142857143,3.7857142857142856
2024-01-29,0.0,0.0,0.0,0.0,0,1,6.0,5.0,0.0,0.0,1.5714285714285714,3.933333333333333
2024-01-30,0.0,0.0,0.0,0.0,1,1,0.0,0.0,0.0,0.0,0.8571428571428571,3.6875
2024-01-31,0.0,0.0,0.0,0.0,2,1,0.0,0.0,0.0,0.0,0.8571428571428571,3.4705882352941178
2024-02-01,0.0,0.0,0.0,0.0,3,2,0.0,0.0,0.0,0.0,0.8571428571428571,3.2777777777777777
2024-02-02,0.0,0.0,0.0,0.0,4,2,0.0,0.0,0.0,0.0,0.8571428571428571,3.1052631578947367
2024-02-03,0.0,0.0,0.0,0.0,5,2,0.0,0.0,0.0,0.0,0.8571428571428571,2.95
2024-02-04,0.0,0.0,0.0,0.0,6,2,0.0,6.0,0.0,0.0,0.8571428571428571,2.8095238095238093
2024-02-05,0.0,0.0,0.0,0.0,0,2,0.0,0.0,5.0,0.0,0.0,2.6818181818181817
2024-02-06,0.0,0.0,0.0,0.0,1,2,0.0,0.0,0.0,0.0,0.0,2.5652173913043477
2024-02-07,0.0,0.0,0.0,0.0,2,2,0.0,0.0,0.0,0.0,0.0,2.4583333333333335
2024-02-08,0.0,0.0,0.0,0.0,3,2,0.0,0.0,0.0,0.0,0.0,2.36
2024-02-09,0.0,0.0,0.0,0.0,4,2,0.0,0.0,0.0,0.0,0.0,2.269230769230769
2024-02-10,0.0,0.0,0.0,0.0,5,2,0.0,0.0,0.0,0.0,0.0,2.185185185185185
2024-02-11,0.0,0.0,0.0,0.0,6,2,0.0,0.0,6.0,0.0,0.0,2.107142857142857
2024-02-12,0.0,0.0,0.0,0.0,0,2,0.0,0.0,0.0,0.0,0.0,2.0344827586206895
2024-02-13,0.0,0.0,0.0,0.0,1,2,0.0,0.0,0.0,48.0,0.0,1.9666666666666666
2024-02-14,0.0,0.0,0.0,0.0,2,2,0.0,0.0,0.0,0.0,0.0,0.36666666666666664
2024-02-15,0.0,0.0,0.0,0.0,3,2,0.0,0.0,0.0,0.0,0.0,0.36666666666666664
2024-02-16,0.0,0.0,0.0,0.0,4,2,0.0,0.0,0.0,0.0,0.0,0.36666666666666664
2024-02-17,0.0,0.0,0.0,0.0,5,2,0.0,0.0,0.0,0.0,0.0,0.36666666666666664
2024-02-18,0.0,0.0,0.0,0.0,6,2,0.0,0.0,0.0,0.0,0.0,0.36666666666666664
2024-02-19,0.0,0.0,0.0,0.0,0,2,0.0,0.0,0.0,0.0,0.0,0.36666666666666664
2024-02-20,0.0,0.0,0.0,0.0,1,2,0.0,0.0,0.0,0.0,0.0,0.36666666666666664
2024-02-21,0.0,0.0,0.0,0.0,2,2,0.0,0.0,0.0,5.0,0.0,0.36666666666666664
2024-02-22,0.0,0.0,0.0,0.0,3,2,0.0,0.0,0.0,0.0,0.0,0.2
2024-02-23,0.0,0.0,0.0,0.0,4,2,0.0,0.0,0.0,0.0,0.0,0.2
2024-02-24,0.0,0.0,0.0,0.0,5,2,0.0,0.0,0.0,0.0,0.0,0.2
2024-02-25,0.0,0.0,0.0,0.0,6,2,0.0,0.0,0.0,0.0,0.0,0.2
2024-02-26,0.0,0.0,0.0,0.0,0,2,0.0,0.0,0.0,0.0,0.0,0.2
2024-02-27,0.0,0.0,0.0,0.0,1,2,0.0,0.0,0.0,6.0,0.0,0.2
2024-02-28,0.0,0.0,0.0,0.0,2,2,0.0,0.0,0.0,0.0,0.0,0.0
2024-02-29,0.0,0.0,0.0,0.0,3,2,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-01,0.0,0.0,0.0,0.0,4,3,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-02,0.0,0.0,0.0,0.0,5,3,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-03,0.0,0.0,0.0,0.0,6,3,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-04,0.0,0.0,0.0,0.0,0,3,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-05,0.0,0.0,0.0,0.0,1,3,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-06,0.0,0.0,0.0,0.0,2,3,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-07,0.0,0.0,0.0,0.0,3,3,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-08,0.0,0.0,0.0,0.0,4,3,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-09,0.0,0.0,0.0,0.0,5,3,0.0,0.0,0.0,0.0,0.0,0.0
