Date,UnitsSold,hashtag_count,avg_likes,InterestScore,weekday,month,lag_1,lag_7,lag_14,lag_30,rm_7,rm_30
2024-02-04,11.0,0.0,0.0,0.0,6,2,0.0,0.0,0.0,0.0,0.0,0.0
2024-02-05,0.0,0.0,0.0,0.0,0,2,11.0,0.0,0.0,0.0,11.0,11.0
2024-02-06,0.0,0.0,0.0,0.0,1,2,0.0,0.0,0.0,0.0,5.5,5.5
2024-02-07,32.0,0.0,0.0,0.0,2,2,0.0,0.0,0.0,0.0,3.6666666666666665,3.6666666666666665
2024-02-08,0.0,0.0,0.0,0.0,3,2,32.0,0.0,0.0,0.0,10.75,10.75
2024-02-09,0.0,0.0,0.0,0.0,4,2,0.0,0.0,0.0,0.0,8.6,8.6
2024-02-10,0.0,0.0,0.0,0.0,5,2,0.0,0.0,0.0,0.0,7.166666666666667,7.166666666666667
2024-02-11,0.0,0.0,0.0,0.0,6,2,0.0,11.0,0.0,0.0,6.142857142857143,6.142857142857143
2024-02-12,0.0,0.0,0.0,0.0,0,2,0.0,0.0,0.0,0.0,4.571428571428571,5.375
2024-02-13,0.0,0.0,0.0,0.0,1,2,0.0,0.0,0.0,0.0,4.571428571428571,4.777777777777778
2024-02-14,0.0,0.0,0.0,0.0,2,2,0.0,32.0,0.0,0.0,4.571428571428571,4.3
2024-02-15,0.0,0.0,0.0,0.0,3,2,0.0,0.0,0.0,0.0,0.0,3.909090909090909
2024-02-16,0.0,0.0,0.0,0.0,4,2,0.0,0.0,0.0,0.0,0.0,3.5833333333333335
2024-02-17,0.0,0.0,0.0,0.0,5,2,0.0,0.0,0.0,0.0,0.0,3.3076923076923075
2024-02-18,0.0,0.0,0.0,0.0,6,2,0.0,0.0,11.0,0.0,0.0,3.0714285714285716
2024-02-19,0.0,0.0,0.0,0.0,0,2,0.0,0.0,0.0,0.0,0.0,2.8666666666666667
2024-02-20,0.0,0.0,0.0,0.0,1,2,0.0,0.0,0.0,0.0,0.0,2.6875
2024-02-21,0.0,0.0,0.0,0.0,2,2,0.0,0.0,32.0,0.0,0.0,2.5294117647058822
2024-02-22,0.0,0.0,0.0,0.0,3,2,0.0,0.0,0.0,0.0,0.0,2.388888888888889
2024-02-23,0.0,0.0,0.0,0.0,4,2,0.0,0.0,0.0,0.0,0.0,2.263157894736842
2024-02-24,0.0,0.0,0.0,0.0,5,2,0.0,0.0,0.0,0.0,0.0,2.15
2024-02-25,0.0,0.0,0.0,0.0,6,2,0.0,0.0,0.0,0.0,0.0,2.0476190476190474
2024-02-26,0.0,0.0,0.0,0.0,0,2,0.0,0.0,0.0,0.0,0.0,1.9545454545454546
2024-02-27,0.0,0.0,0.0,0.0,1,2,0.0,0.0,0.0,0.0,0.0,1.8695652173913044
2024-02-28,0.0,0.0,0.0,0.0,2,2,0.0,0.0,0.0,0.0,0.0,1.7916666666666667
2024-02-29,46.0,0.0,0.0,0.0,3,2,0.0,0.0,0.0,0.0,0.0,1.72
2024-03-01,0.0,0.0,0.0,0.0,4,3,46.0,0.0,0.0,0.0,6.571428571428571,3.423076923076923
2024-03-02,0.0,0.0,0.0,0.0,5,3,0.0,0.0,0.0,0.0,6.571428571428571,3.2962962962962963
2024-03-03,0.0,0.0,0.0,0.0,6,3,0.0,0.0,0.0,0.0,6.571428571428571,3.1785714285714284
2024-03-04,0.0,0.0,0.0,0.0,0,3,0.0,0.0,0.0,0.0,6.571428571428571,3.0689655172413794
2024-03-05,0.0,0.0,0.0,0.0,1,3,0.0,0.0,0.0,11.0,6.571428571428571,2.966666666666667
