Date,UnitsSold,hashtag_count,avg_likes,InterestScore,weekday,month,lag_1,lag_7,lag_14,lag_30,rm_7,rm_30
2024-01-01,3.0,0.0,0.0,0.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-02,0.0,0.0,0.0,0.0,1,1,3.0,0.0,0.0,0.0,3.0,3.0
2024-01-03,0.0,0.0,0.0,0.0,2,1,0.0,0.0,0.0,0.0,1.5,1.5
2024-01-04,0.0,0.0,0.0,0.0,3,1,0.0,0.0,0.0,0.0,1.0,1.0
2024-01-05,0.0,0.0,0.0,0.0,4,1,0.0,0.0,0.0,0.0,0.75,0.75
2024-01-06,0.0,0.0,0.0,0.0,5,1,0.0,0.0,0.0,0.0,0.6,0.6
2024-01-07,0.0,0.0,0.0,0.0,6,1,0.0,0.0,0.0,0.0,0.5,0.5
2024-01-08,0.0,0.0,0.0,0.0,0,1,0.0,3.0,0.0,0.0,0.42857142857142855,0.42857142857142855
2024-01-09,0.0,0.0,0.0,0.0,1,1,0.0,0.0,0.0,0.0,0.0,0.375
2024-01-10,0.0,0.0,0.0,0.0,2,1,0.0,0.0,0.0,0.0,0.0,0.3333333333333333
2024-01-11,0.0,0.0,0.0,0.0,3,1,0.0,0.0,0.0,0.0,0.0,0.3
2024-01-12,0.0,0.0,0.0,0.0,4,1,0.0,0.0,0.0,0.0,0.0,0.2727272727272727
2024-01-13,0.0,0.0,0.0,0.0,5,1,0.0,0.0,0.0,0.0,0.0,0.25
2024-01-14,0.0,0.0,0.0,0.0,6,1,0.0,0.0,0.0,0.0,0.0,0.23076923076923078
2024-01-15,0.0,0.0,0.0,0.0,0,1,0.0,0.0,3.0,0.0,0.0,0.21428571428571427
2024-01-16,0.0,0.0,0.0,0.0,1,1,0.0,0.0,0.0,0.0,0.0,0.2
2024-01-17,0.0,0.0,0.0,0.0,2,1,0.0,0.0,0.0,0.0,0.0,0.1875
2024-01-18,0.0,0.0,0.0,0.0,3,1,0.0,0.0,0.0,0.0,0.0,0.17647058823529413
2024-01-19,0.0,0.0,0.0,0.0,4,1,0.0,0.0,0.0,0.0,0.0,0.16666666666666666
2024-01-20,0.0,0.0,0.0,0.0,5,1,0.0,0.0,0.0,0.0,0.0,0.15789473684210525
2024-01-21,13.0,0.0,0.0,0.0,6,1,0.0,0.0,0.0,0.0,0.0,0.15
2024-01-22,0.0,0.0,0.0,0.0,0,1,13.0,0.0,0.0,0.0,1.8571428571428572,0.7619047619047619
2024-01-23,0.0,0.0,0.0,0.0,1,1,0.0,0.0,0.0,0.0,1.8571428571428572,0.7272727272727273
2024-01-24,0.0,0.0,0.0,0.0,2,1,0.0,0.0,0.0,0.0,1.8571428571428572,0.6956521739130435
2024-01-25,0.0,0.0,0.0,0.0,3,1,0.0,0.0,0.0,0.0,1.8571428571428572,0.6666666666666666
2024-01-26,0.0,0.0,0.0,0.0,4,1,0.0,0.0,0.0,0.0,1.8571428571428572,0.64
2024-01-27,0.0,0.0,0.0,0.0,5,1,0.0,0.0,0.0,0.0,1.8571428571428572,0.6153846153846154
2024-01-28,0.0,0.0,0.0,0.0,6,1,0.0,13.0,0.0,0.0,1.8571428571428572,0.5925925925925926
2024-01-29,0.0,0.0,0.0,0.0,0,1,0.0,0.0,0.0,0.0,0.0,0.5714285714285714
