Category,HybridForecast,TrendScore,PsychologyScore,SalesVelocity,PriceTier,PriceTierEffect,RiskLevel,RecommendedOrderQty,PersonaTarget,RecommendationText
Caps,-0.048,0.0,0.0,5.929,Low,1.25,Low Risk,1,Classic Minimalist,"For Caps: Forecast=-0.05, Trend=0, Psy=0, SalesVel=5.93, Tier=Low. Recommended order quantity: 1. Risk: Low Risk. Persona Target: Classic Minimalist."
Cargo Pants,2.445,340.89368483732187,0.549350858648287,1.286,Low,1.25,Low Risk,6,Bohemian/Indie,"For Cargo Pants: Forecast=2.45, Trend=340.89368483732187, Psy=0.55, SalesVel=1.29, Tier=Low. Recommended order quantity: 6. Risk: Low Risk. Persona Target: Bohemian/Indie."
Crop Tops,2.209,1010.3720446840888,0.8607571271013256,2.071,Low,1.25,Low Risk,7,K-Fashion Enthusiast,"For Crop Tops: Forecast=2.21, Trend=1010.3720446840888, Psy=0.86, SalesVel=2.07, Tier=Low. Recommended order quantity: 7. Risk: Low Risk. Persona Target: K-Fashion Enthusiast."
Daura Suruwal,0.0,0.0,0.0,0.929,Low,1.25,Low Risk,1,K-Fashion Enthusiast,"For Daura Suruwal: Forecast=0.0, Trend=0, Psy=0, SalesVel=0.93, Tier=Low. Recommended order quantity: 1. Risk: Low Risk. Persona Target: K-Fashion Enthusiast."
Hoodies,3.602,2250.835241816329,0.6209027624309393,1.857,Low,1.25,Low Risk,8,K-Fashion Enthusiast,"For Hoodies: Forecast=3.6, Trend=2250.835241816329, Psy=0.62, SalesVel=1.86, Tier=Low. Recommended order quantity: 8. Risk: Low Risk. Persona Target: K-Fashion Enthusiast."
Jackets,0.576,1088.953324128871,0.4247024369532088,3.0,Low,1.25,Low Risk,3,K-Fashion Enthusiast,"For Jackets: Forecast=0.58, Trend=1088.953324128871, Psy=0.42, SalesVel=3.0, Tier=Low. Recommended order quantity: 3. Risk: Low Risk. Persona Target: K-Fashion Enthusiast."
Jeans,0.074,0.0,0.0,3.143,Low,1.25,Low Risk,1,K-Fashion Enthusiast,"For Jeans: Forecast=0.07, Trend=0, Psy=0, SalesVel=3.14, Tier=Low. Recommended order quantity: 1. Risk: Low Risk. Persona Target: K-Fashion Enthusiast."
Kurta,3.285,0.0,0.0,1.143,Low,1.25,Low Risk,4,K-Fashion Enthusiast,"For Kurta: Forecast=3.28, Trend=0, Psy=0, SalesVel=1.14, Tier=Low. Recommended order quantity: 4. Risk: Low Risk. Persona Target: K-Fashion Enthusiast."
Pants,1.348,596.4770966400126,0.5659157362308295,1.0,Low,1.25,Low Risk,5,K-Fashion Enthusiast,"For Pants: Forecast=1.35, Trend=596.4770966400126, Psy=0.57, SalesVel=1.0, Tier=Low. Recommended order quantity: 5. Risk: Low Risk. Persona Target: K-Fashion Enthusiast."
Saree,0.469,0.0,0.0,2.0,Low,1.25,Low Risk,1,K-Fashion Enthusiast,"For Saree: Forecast=0.47, Trend=0, Psy=0, SalesVel=2.0, Tier=Low. Recommended order quantity: 1. Risk: Low Risk. Persona Target: K-Fashion Enthusiast."
Shoes,-0.332,0.0,0.0,1.143,Low,1.25,Low Risk,1,K-Fashion Enthusiast,"For Shoes: Forecast=-0.33, Trend=0, Psy=0, SalesVel=1.14, Tier=Low. Recommended order quantity: 1. Risk: Low Risk. Persona Target: K-Fashion Enthusiast."
Sweaters,0.128,0.0,0.0,3.429,Low,1.25,Low Risk,1,K-Fashion Enthusiast,"For Sweaters: Forecast=0.13, Trend=0, Psy=0, SalesVel=3.43, Tier=Low. Recommended order quantity: 1. Risk: Low Risk. Persona Target: K-Fashion Enthusiast."
T-Shirts,0.16,5.732161942162908,0.0409466971159199,1.857,Low,1.25,Low Risk,1,K-Fashion Enthusiast,"For T-Shirts: Forecast=0.16, Trend=5.732161942162908, Psy=0.04, SalesVel=1.86, Tier=Low. Recommended order quantity: 1. Risk: Low Risk. Persona Target: K-Fashion Enthusiast."
Track Pants,0.021,0.0,0.0,1.786,Low,1.25,Low Risk,1,K-Fashion Enthusiast,"For Track Pants: Forecast=0.02, Trend=0, Psy=0, SalesVel=1.79, Tier=Low. Recommended order quantity: 1. Risk: Low Risk. Persona Target: K-Fashion Enthusiast."
