Category,AvgSales,Volatility,TrendScore,ClusterID,ClusterLabel
Caps,0.9141914191419142,5.100892331005322,0.0,3,❓ Opportunity (Volatile)
Cargo Pants,2.947945205479452,3.2581305563565186,17.0,2,⭐ Star (High Volume)
Crop Tops,2.372602739726027,3.176720796721384,10.0,2,⭐ Star (High Volume)
Daura Suruwal,0.20618556701030927,2.021973145204679,0.0,1,⚠️ Risk (Low Performance)
Hoodies,1.4169014084507043,7.091073921110894,50.0,0,💰 Cash Cow (Steady)
Jackets,0.930921052631579,5.344732869460547,33.0,0,💰 Cash Cow (Steady)
Jeans,0.8955223880597015,5.614711024706823,0.0,3,❓ Opportunity (Volatile)
Kurta,0.8688524590163934,4.771228620181946,0.0,3,❓ Opportunity (Volatile)
Pants,2.136986301369863,2.303336498329566,17.0,2,⭐ Star (High Volume)
Saree,0.9834983498349835,5.6857313833321275,0.0,3,❓ Opportunity (Volatile)
Shoes,0.9707112970711297,5.142831749094432,0.0,3,❓ Opportunity (Volatile)
Sweaters,1.1076923076923078,6.460045954340706,0.0,3,❓ Opportunity (Volatile)
T-Shirts,0.8024193548387096,4.621424561023052,0.0,3,❓ Opportunity (Volatile)
Track Pants,0.6597938144329897,4.5064396787298255,0.0,3,❓ Opportunity (Volatile)
