Date,Region,Keyword,InterestScore
2024-11-01,Nepal,Hoodies,49
2024-11-01,Nepal,Cargo Pants,15
2024-11-01,Nepal,Graphic Tees,18
2024-11-01,Nepal,Jackets,17
2024-11-01,Nepal,Crop Tops,10
2024-11-01,Nepal,T-Shirts,27
2024-11-02,Nepal,Hoodies,45
2024-11-02,Nepal,Cargo Pants,21
2024-11-02,Nepal,Graphic Tees,20
2024-11-02,Nepal,Jackets,21
2024-11-02,Nepal,Crop Tops,12
2024-11-02,Nepal,T-Shirts,26
2024-11-03,Nepal,Hoodies,46
2024-11-03,Nepal,Cargo Pants,16
2024-11-03,Nepal,Graphic Tees,25
2024-11-03,Nepal,Jackets,18
2024-11-03,Nepal,Crop Tops,8
2024-11-03,Nepal,T-Shirts,25
2024-11-04,Nepal,Hoodies,49
2024-11-04,Nepal,Cargo Pants,15
2024-11-04,Nepal,Graphic Tees,20
2024-11-04,Nepal,Jackets,17
2024-11-04,Nepal,Crop Tops,11
2024-11-04,Nepal,T-Shirts,29
2024-11-05,Nepal,Hoodies,41
2024-11-05,Nepal,Cargo Pants,20
2024-11-05,Nepal,Graphic Tees,25
2024-11-05,Nepal,Jackets,21
2024-11-05,Nepal,Crop Tops,7
2024-11-05,Nepal,T-Shirts,26
2024-11-06,Nepal,Hoodies,49
2024-11-06,Nepal,Cargo Pants,18
2024-11-06,Nepal,Graphic Tees,22
2024-11-06,Nepal,Jackets,24
2024-11-06,Nepal,Crop Tops,10
2024-11-06,Nepal,T-Shirts,29
2024-11-07,Nepal,Hoodies,44
2024-11-07,Nepal,Cargo Pants,20
2024-11-07,Nepal,Graphic Tees,21
2024-11-07,Nepal,Jackets,23
2024-11-07,Nepal,Crop Tops,10
2024-11-07,Nepal,T-Shirts,31
2024-11-08,Nepal,Hoodies,48
2024-11-08,Nepal,Cargo Pants,15
2024-11-08,Nepal,Graphic Tees,19
2024-11-08,Nepal,Jackets,24
2024-11-08,Nepal,Crop Tops,11
2024-11-08,Nepal,T-Shirts,25
2024-11-09,Nepal,Hoodies,49
2024-11-09,Nepal,Cargo Pants,20
2024-11-09,Nepal,Graphic Tees,26
2024-11-09,Nepal,Jackets,20
2024-11-09,Nepal,Crop Tops,8
2024-11-09,Nepal,T-Shirts,25
2024-11-10,Nepal,Hoodies,41
2024-11-10,Nepal,Cargo Pants,18
2024-11-10,Nepal,Graphic Tees,25
2024-11-10,Nepal,Jackets,18
2024-11-10,Nepal,Crop Tops,8
2024-11-10,Nepal,T-Shirts,29
2024-11-11,Nepal,Hoodies,47
2024-11-11,Nepal,Cargo Pants,21
2024-11-11,Nepal,Graphic Tees,19
2024-11-11,Nepal,Jackets,23
2024-11-11,Nepal,Crop Tops,11
2024-11-11,Nepal,T-Shirts,26
2024-11-12,Nepal,Hoodies,50
2024-11-12,Nepal,Cargo Pants,20
2024-11-12,Nepal,Graphic Tees,22
2024-11-12,Nepal,Jackets,19
2024-11-12,Nepal,Crop Tops,12
2024-11-12,Nepal,T-Shirts,31
2024-11-13,Nepal,Hoodies,48
2024-11-13,Nepal,Cargo Pants,16
2024-11-13,Nepal,Graphic Tees,21
2024-11-13,Nepal,Jackets,19
2024-11-13,Nepal,Crop Tops,7
2024-11-13,Nepal,T-Shirts,32
2024-11-14,Nepal,Hoodies,45
2024-11-14,Nepal,Cargo Pants,21
2024-11-14,Nepal,Graphic Tees,25
2024-11-14,Nepal,Jackets,21
2024-11-14,Nepal,Crop Tops,7
2024-11-14,Nepal,T-Shirts,30
2024-11-15,Nepal,Hoodies,48
2024-11-15,Nepal,Cargo Pants,18
2024-11-15,Nepal,Graphic Tees,25
2024-11-15,Nepal,Jackets,24
2024-11-15,Nepal,Crop Tops,11
2024-11-15,Nepal,T-Shirts,27
2024-11-16,Nepal,Hoodies,44
2024-11-16,Nepal,Cargo Pants,19
2024-11-16,Nepal,Graphic Tees,20
2024-11-16,Nepal,Jackets,21
2024-11-16,Nepal,Crop Tops,7
2024-11-16,Nepal,T-Shirts,26
2024-11-17,Nepal,Hoodies,46
2024-11-17,Nepal,Cargo Pants,18
2024-11-17,Nepal,Graphic Tees,25
2024-11-17,Nepal,Jackets,22
2024-11-17,Nepal,Crop Tops,7
2024-11-17,Nepal,T-Shirts,27
2024-11-18,Nepal,Hoodies,44
2024-11-18,Nepal,Cargo Pants,19
2024-11-18,Nepal,Graphic Tees,19
2024-11-18,Nepal,Jackets,24
2024-11-18,Nepal,Crop Tops,7
2024-11-18,Nepal,T-Shirts,28
2024-11-19,Nepal,Hoodies,46
2024-11-19,Nepal,Cargo Pants,18
2024-11-19,Nepal,Graphic Tees,23
2024-11-19,Nepal,Jackets,23
2024-11-19,Nepal,Crop Tops,12
2024-11-19,Nepal,T-Shirts,30
2024-11-20,Nepal,Hoodies,51
2024-11-20,Nepal,Cargo Pants,16
2024-11-20,Nepal,Graphic Tees,26
2024-11-20,Nepal,Jackets,22
2024-11-20,Nepal,Crop Tops,10
2024-11-20,Nepal,T-Shirts,31
2024-11-21,Nepal,Hoodies,46
2024-11-21,Nepal,Cargo Pants,20
2024-11-21,Nepal,Graphic Tees,18
2024-11-21,Nepal,Jackets,17
