Date,Category,UnitsSold,City,AgeGroup,Gender
2024-01-01,T-Shirts,3.0,Kathmandu,17-25,Male
2024-01-01,Hoodies,42.0,Kathmandu,17-25,Male
2024-01-04,Jeans,48.0,Kathmandu,17-25,Male
2024-01-14,Saree,48.0,Kathmandu,17-25,Male
2024-01-21,T-Shirts,13.0,Kathmandu,17-25,Male
2024-01-22,Saree,5.0,Kathmandu,17-25,Male
2024-01-25,Sweaters,34.0,Kathmandu,17-25,Male
2024-01-28,Saree,6.0,Kathmandu,17-25,Male
2024-02-04,Shoes,11.0,Kathmandu,17-25,Male
2024-02-07,Shoes,32.0,Kathmandu,17-25,Male
2024-02-09,Jeans,36.0,Kathmandu,17-25,Male
2024-02-19,Caps,5.0,Kathmandu,17-25,Male
2024-02-21,Hoodies,39.0,Kathmandu,17-25,Male
2024-02-22,Hoodies,48.0,Kathmandu,17-25,Male
2024-02-25,Jeans,26.0,Kathmandu,17-25,Male
2024-02-27,Kurta,25.0,Kathmandu,17-25,Male
2024-02-28,Jackets,34.0,Kathmandu,17-25,Male
2024-02-29,Shoes,46.0,Kathmandu,17-25,Male
2024-03-02,Jackets,9.0,Kathmandu,17-25,Male
2024-03-03,Track Pants,12.0,Kathmandu,17-25,Male
2024-03-07,Caps,32.0,Kathmandu,17-25,Male
2024-03-09,Kurta,44.0,Kathmandu,17-25,Male
2024-03-09,Shoes,16.0,Kathmandu,17-25,Male
2024-03-09,T-Shirts,35.0,Kathmandu,17-25,Male
2024-03-11,Daura Suruwal,20.0,Kathmandu,17-25,Male
2024-03-11,Sweaters,49.0,Kathmandu,17-25,Male
2024-03-17,T-Shirts,6.0,Kathmandu,17-25,Male
2024-03-20,Sweaters,49.0,Kathmandu,17-25,Male
2024-03-20,Caps,40.0,Kathmandu,17-25,Male
2024-03-22,Shoes,16.0,Kathmandu,17-25,Male
2024-03-23,T-Shirts,40.0,Kathmandu,17-25,Male
2024-03-27,Hoodies,22.0,Kathmandu,17-25,Male
2024-03-30,Sweaters,14.0,Kathmandu,17-25,Male
2024-03-31,Saree,10.0,Kathmandu,17-25,Male
2024-04-02,Shoes,39.0,Kathmandu,17-25,Male
2024-04-07,Caps,23.0,Kathmandu,17-25,Male
2024-04-17,Saree,9.0,Kathmandu,17-25,Male
2024-04-17,Track Pants,36.0,Kathmandu,17-25,Male
2024-04-17,Caps,8.0,Kathmandu,17-25,Male
2024-04-21,Saree,44.0,Kathmandu,17-25,Male
2024-05-01,Track Pants,21.0,Kathmandu,17-25,Male
2024-05-01,T-Shirts,24.0,Kathmandu,17-25,Male
2024-05-02,Hoodies,43.0,Kathmandu,17-25,Male
2024-05-03,Track Pants,25.0,Kathmandu,17-25,Male
2024-05-09,Caps,42.0,Kathmandu,17-25,Male
2024-05-16,Shoes,18.0,Kathmandu,17-25,Male
2024-05-18,Jeans,26.0,Kathmandu,17-25,Male
2024-05-24,Caps,14.0,Kathmandu,17-25,Male
2024-05-25,Hoodies,31.0,Kathmandu,17-25,Male
2024-05-28,Sweaters,38.0,Kathmandu,17-25,Male
2024-05-30,Saree,22.0,Kathmandu,17-25,Male
2024-05-31,Sweaters,4.0,Kathmandu,17-25,Male
2024-06-01,T-Shirts,12.0,Kathmandu,17-25,Male
2024-06-01,Kurta,21.0,Kathmandu,17-25,Male
2024-06-02,Sweaters,42.0,Kathmandu,17-25,Male
2024-06-03,Sweaters,22.0,Kathmandu,17-25,Male
2024-06-04,Shoes,9.0,Kathmandu,17-25,Male
2024-06-04,T-Shirts,10.0,Kathmandu,17-25,Male
2024-06-13,Jackets,29.0,Kathmandu,17-25,Male
2024-06-15,Saree,44.0,Kathmandu,17-25,Male
2024-06-21,Hoodies,41.0,Kathmandu,17-25,Male
2024-06-26,Jackets,23.0,Kathmandu,17-25,Male
2024-06-27,Track Pants,47.0,Kathmandu,17-25,Male
2024-06-29,Daura Suruwal,2.0,Kathmandu,17-25,Male
2024-07-04,Shoes,23.0,Kathmandu,17-25,Male
2024-07-06,Jackets,16.0,Kathmandu,17-25,Male
2024-07-13,Hoodies,17.0,Kathmandu,17-25,Male
2024-07-15,Jeans,22.0,Kathmandu,17-25,Male
2024-07-17,Kurta,25.0,Kathmandu,17-25,Male
2024-07-22,Sweaters,13.0,Kathmandu,17-25,Male
2024-07-22,T-Shirts,30.0,Kathmandu,17-25,Male
2024-07-27,Saree,19.0,Kathmandu,17-25,Male
2024-07-30,Daura Suruwal,25.0,Kathmandu,17-25,Male
2024-08-03,Track Pants,26.0,Kathmandu,17-25,Male
2024-08-05,Hoodies,21.0,Kathmandu,17-25,Male
2024-08-06,Jackets,41.0,Kathmandu,17-25,Male
2024-08-12,Hoodies,8.0,Kathmandu,17-25,Male
2024-08-12,Shoes,6.0,Kathmandu,17-25,Male
2024-08-14,Kurta,18.0,Kathmandu,17-25,Male
2024-08-16,Jeans,22.0,Kathmandu,17-25,Male
2024-08-18,Jeans,27.0,Kathmandu,17-25,Male
2024-08-29,Jackets,13.0,Kathmandu,17-25,Male
2024-08-30,Sweaters,39.0,Kathmandu,17-25,Male
2024-09-04,T-Shirts,26.0,Kathmandu,17-25,Male
2024-09-05,Caps,4.0,Kathmandu,17-25,Male
2024-09-06,Hoodies,7.0,Kathmandu,17-25,Male
2024-09-07,Kurta,32.0,Kathmandu,17-25,Male
2024-09-09,Kurta,17.0,Kathmandu,17-25,Male
2024-09-16,Saree,28.0,Kathmandu,17-25,Male
2024-09-19,Hoodies,47.0,Kathmandu,17-25,Male
2024-09-20,Kurta,14.0,Kathmandu,17-25,Male
2024-09-29,Shoes,16.0,Kathmandu,17-25,Male
2024-09-30,Saree,35.0,Kathmandu,17-25,Male
2024-10-20,Jackets,37.0,Kathmandu,17-25,Male
2024-10-21,Jackets,32.0,Kathmandu,17-25,Male
2024-10-27,Kurta,16.0,Kathmandu,17-25,Male
2024-10-28,Jeans,2.0,Kathmandu,17-25,Male
2024-10-30,Sweaters,8.0,Kathmandu,17-25,Male
2024-11-04,Jackets,7.0,Kathmandu,17-25,Male
2024-11-06,Jeans,47.0,Kathmandu,17-25,Male
2024-11-08,Hoodies,36.0,Kathmandu,17-25,Male
2024-11-11,Saree,28.0,Kathmandu,17-25,Male
2024-11-13,Hoodies,45.0,Kathmandu,17-25,Male
2024-12-01,Caps,26.0,Kathmandu,17-25,Male
2024-12-01,Hoodies,30.0,Kathmandu,17-25,Male
2024-12-03,Jeans,44.0,Kathmandu,17-25,Male
2024-12-08,Caps,38.0,Kathmandu,17-25,Male
2024-12-14,Sweaters,48.0,Kathmandu,17-25,Male
2024-12-14,Caps,10.0,Kathmandu,17-25,Male
2024-12-15,Caps,23.0,Kathmandu,17-25,Male
2024-12-17,Caps,12.0,Kathmandu,17-25,Male
2024-12-18,Track Pants,25.0,Kathmandu,17-25,Male
2024-12-20,Hoodies,26.0,Kathmandu,17-25,Male
2024-12-26,Daura Suruwal,13.0,Kathmandu,17-25,Male
2024-12-27,Jackets,42.0,Kathmandu,17-25,Male
