Date,ItemID,City,AgeGroup,Gender,Category,StylePersona,PriceTier,UnitsSold
2024-11-01,10000,Kathmandu,15-19,Male,Jackets,K-Fashion Enthusiast,Low,0
2024-11-01,10001,Kathmandu,25-30,Female,T-Shirts,Bohemian/Indie,Mid,1
2024-11-01,10002,Kathmandu,25-30,Female,Jackets,K-Fashion Enthusiast,Low,0
2024-11-01,10003,Kathmandu,25-30,Male,Crop Tops,Bohemian/Indie,Premium,3
2024-11-01,10004,Kathmandu,20-24,Male,T-Shirts,American Streetwear,Low,0
2024-11-01,10005,Kathmandu,20-24,Male,Pants,Classic Minimalist,Low,0
2024-11-01,10006,Kathmandu,20-24,Female,T-Shirts,American Streetwear,Mid,3
2024-11-01,10007,Kathmandu,20-24,Female,Cargo Pants,American Streetwear,Low,6
2024-11-01,10008,Kathmandu,20-24,Male,Crop Tops,Bohemian/Indie,Mid,1
2024-11-01,10009,Kathmandu,25-30,Female,Pants,Classic Minimalist,Low,3
2024-11-01,10010,Kathmandu,20-24,Female,Pants,Bohemian/Indie,Mid,2
2024-11-01,10011,Kathmandu,25-30,Female,Hoodies,K-Fashion Enthusiast,Low,1
2024-11-01,10012,Kathmandu,15-19,Female,Hoodies,American Streetwear,Low,3
2024-11-01,10013,Kathmandu,15-19,Male,Cargo Pants,K-Fashion Enthusiast,Low,0
2024-11-01,10014,Kathmandu,15-19,Male,Pants,American Streetwear,Low,1
2024-11-01,10015,Kathmandu,20-24,Female,T-Shirts,American Streetwear,Low,2
2024-11-01,10016,Kathmandu,20-24,Male,Hoodies,K-Fashion Enthusiast,Mid,1
2024-11-01,10017,Kathmandu,20-24,Male,Crop Tops,American Streetwear,Low,1
2024-11-01,10018,Kathmandu,20-24,Male,Hoodies,Bohemian/Indie,Low,1
2024-11-01,10019,Kathmandu,31-40,Male,Jackets,Bohemian/Indie,Low,0
2024-11-01,10020,Kathmandu,31-40,Male,Pants,Classic Minimalist,Mid,2
2024-11-01,10021,Kathmandu,25-30,Male,T-Shirts,K-Fashion Enthusiast,Low,2
2024-11-01,10022,Kathmandu,15-19,Female,Crop Tops,American Streetwear,Low,3
2024-11-01,10023,Kathmandu,15-19,Female,Hoodies,Bohemian/Indie,Premium,1
2024-11-01,10024,Kathmandu,20-24,Male,T-Shirts,Classic Minimalist,Low,2
2024-11-01,10025,Kathmandu,25-30,Female,Hoodies,Classic Minimalist,Low,7
2024-11-01,10026,Kathmandu,25-30,Female,Cargo Pants,Bohemian/Indie,Low,2
2024-11-01,10027,Kathmandu,20-24,Male,Pants,Bohemian/Indie,Low,1
2024-11-01,10028,Kathmandu,20-24,Male,Cargo Pants,K-Fashion Enthusiast,Mid,2
2024-11-01,10029,Kathmandu,20-24,Female,Pants,K-Fashion Enthusiast,Mid,1
2024-11-01,10030,Kathmandu,20-24,Female,Cargo Pants,K-Fashion Enthusiast,Mid,2
2024-11-01,10031,Lalitpur,20-24,Non-binary,Hoodies,American Streetwear,Premium,0
2024-11-01,10032,Lalitpur,20-24,Non-binary,Cargo Pants,Bohemian/Indie,Mid,1
2024-11-01,10033,Lalitpur,31-40,Male,Hoodies,American Streetwear,Mid,1
2024-11-01,10034,Lalitpur,20-24,Male,Cargo Pants,American Streetwear,Mid,2
2024-11-01,10035,Lalitpur,20-24,Male,Crop Tops,Classic Minimalist,Low,1
2024-11-01,10036,Lalitpur,15-19,Female,Hoodies,Classic Minimalist,Low,2
2024-11-01,10037,Lalitpur,15-19,Female,T-Shirts,K-Fashion Enthusiast,Mid,1
2024-11-01,10038,Lalitpur,20-24,Female,T-Shirts,K-Fashion Enthusiast,Mid,1
2024-11-01,10039,Lalitpur,25-30,Female,Pants,American Streetwear,Low,0
2024-11-01,10040,Lalitpur,25-30,Female,T-Shirts,K-Fashion Enthusiast,Mid,0
2024-11-01,10041,Lalitpur,15-19,Female,Hoodies,American Streetwear,Premium,2
2024-11-01,10042,Lalitpur,25-30,Female,Pants,Bohemian/Indie,Low,0
2024-11-01,10043,Lalitpur,25-30,Female,T-Shirts,K-Fashion Enthusiast,Premium,0
2024-11-01,10044,Lalitpur,15-19,Male,Jackets,American Streetwear,Mid,0
2024-11-01,10045,Lalitpur,15-19,Male,T-Shirts,K-Fashion Enthusiast,Low,1
2024-11-01,10046,Pokhara,31-40,Female,Pants,Classic Minimalist,Mid,2
2024-11-01,10047,Pokhara,31-40,Female,T-Shirts,American Streetwear,Low,0
2024-11-01,10048,Pokhara,15-19,Female,T-Shirts,K-Fashion Enthusiast,Mid,1
2024-11-01,10049,Pokhara,20-24,Male,Hoodies,Classic Minimalist,Premium,0
2024-11-01,10050,Pokhara,20-24,Male,Cargo Pants,American Streetwear,Low,1
2024-11-01,10051,Pokhara,20-24,Male,Crop Tops,Classic Minimalist,Mid,1
2024-11-01,10052,Pokhara,25-30,Male,Jackets,Bohemian/Indie,Low,0
2024-11-01,10053,Pokhara,15-19,Female,T-Shirts,K-Fashion Enthusiast,Low,4
2024-11-01,10054,Biratnagar,20-24,Male,Jackets,Bohemian/Indie,Mid,1
2024-11-01,10055,Biratnagar,25-30,Female,Pants,Classic Minimalist,Low,1
2024-11-01,10056,Biratnagar,25-30,Female,T-Shirts,Classic Minimalist,Mid,0
2024-11-01,10057,Biratnagar,31-40,Non-binary,Hoodies,Bohemian/Indie,Low,0
2024-11-01,10058,Biratnagar,31-40,Non-binary,Pants,Bohemian/Indie,Low,0
2024-11-01,10059,Biratnagar,20-24,Female,T-Shirts,Bohemian/Indie,Low,2
2024-11-01,10060,Biratnagar,20-24,Female,Pants,Classic Minimalist,Low,0
2024-11-01,10061,Biratnagar,31-40,Male,T-Shirts,Classic Minimalist,Mid,1
2024-11-01,10062,Biratnagar,15-19,Male,Pants,American Streetwear,Premium,0
2024-11-01,10063,Biratnagar,15-19,Male,T-Shirts,K-Fashion Enthusiast,Mid,0
2024-11-01,10064,Biratnagar,15-19,Male,Hoodies,American Streetwear,Low,0
2024-11-01,10065,Bharatpur,20-24,Female,T-Shirts,Classic Minimalist,Low,2
2024-11-01,10066,Bharatpur,20-24,Female,Crop Tops,Classic Minimalist,Low,1
2024-11-01,10067,Bharatpur,20-24,Female,Crop Tops,Bohemian/Indie,Mid,0
