Date,City,Category,StylePersona,AgeGroup,UnitsSold
2025-01-01,Bharatpur,Cargo Pants,Bohemian/Indie,31-40,0
2025-01-01,Bharatpur,Cargo Pants,Classic Minimalist,20-24,0
2025-01-01,Bharatpur,Cargo Pants,K-Fashion Enthusiast,15-19,0
2025-01-01,Bharatpur,Cargo Pants,K-Fashion Enthusiast,31-40,5
2025-01-01,Bharatpur,Crop Tops,American Streetwear,20-24,2
2025-01-01,Bharatpur,Crop Tops,Bohemian/Indie,15-19,0
2025-01-01,Bharatpur,Crop Tops,Classic Minimalist,25-30,0
2025-01-01,Bharatpur,Crop Tops,Classic Minimalist,31-40,9
2025-01-01,Bharatpur,Hoodies,American Streetwear,15-19,8
2025-01-01,Bharatpur,Hoodies,American Streetwear,25-30,0
2025-01-01,Bharatpur,Hoodies,Bohemian/Indie,15-19,3
2025-01-01,Bharatpur,Hoodies,Bohemian/Indie,20-24,6
2025-01-01,Bharatpur,Hoodies,Classic Minimalist,15-19,2
2025-01-01,Bharatpur,Hoodies,K-Fashion Enthusiast,20-24,5
2025-01-01,Bharatpur,Hoodies,K-Fashion Enthusiast,25-30,5
2025-01-01,Bharatpur,Jackets,Bohemian/Indie,20-24,4
2025-01-01,Bharatpur,Jackets,Classic Minimalist,20-24,4
2025-01-01,Bharatpur,Jackets,Classic Minimalist,25-30,0
2025-01-01,Bharatpur,Pants,American Streetwear,15-19,1
2025-01-01,Bharatpur,Pants,American Streetwear,25-30,5
2025-01-01,Bharatpur,Pants,American Streetwear,31-40,0
2025-01-01,Bharatpur,Pants,Classic Minimalist,20-24,2
2025-01-01,Bharatpur,Pants,Classic Minimalist,31-40,4
2025-01-01,Bharatpur,Pants,K-Fashion Enthusiast,15-19,0
2025-01-01,Bharatpur,T-Shirts,American Streetwear,25-30,6
2025-01-01,Bharatpur,T-Shirts,Classic Minimalist,15-19,2
2025-01-01,Bharatpur,T-Shirts,Classic Minimalist,25-30,1
2025-01-01,Bharatpur,T-Shirts,Classic Minimalist,31-40,1
2025-01-01,Bharatpur,T-Shirts,K-Fashion Enthusiast,20-24,6
2025-01-01,Bharatpur,T-Shirts,K-Fashion Enthusiast,31-40,1
2025-01-01,Biratnagar,Cargo Pants,Bohemian/Indie,15-19,0
2025-01-01,Biratnagar,Cargo Pants,Classic Minimalist,15-19,5
2025-01-01,Biratnagar,Cargo Pants,Classic Minimalist,31-40,0
2025-01-01,Biratnagar,Cargo Pants,K-Fashion Enthusiast,20-24,0
2025-01-01,Biratnagar,Cargo Pants,K-Fashion Enthusiast,25-30,0
2025-01-01,Biratnagar,Crop Tops,Classic Minimalist,31-40,0
2025-01-01,Biratnagar,Hoodies,American Streetwear,20-24,2
2025-01-01,Biratnagar,Hoodies,Bohemian/Indie,15-19,2
2025-01-01,Biratnagar,Hoodies,Bohemian/Indie,25-30,1
2025-01-01,Biratnagar,Hoodies,Bohemian/Indie,31-40,0
2025-01-01,Biratnagar,Hoodies,Classic Minimalist,31-40,0
2025-01-01,Biratnagar,Hoodies,K-Fashion Enthusiast,15-19,0
2025-01-01,Biratnagar,Hoodies,K-Fashion Enthusiast,25-30,2
2025-01-01,Biratnagar,Jackets,American Streetwear,20-24,7
2025-01-01,Biratnagar,Jackets,American Streetwear,31-40,1
2025-01-01,Biratnagar,Jackets,Bohemian/Indie,15-19,3
2025-01-01,Biratnagar,Jackets,Bohemian/Indie,20-24,0
2025-01-01,Biratnagar,Jackets,Bohemian/Indie,25-30,1
2025-01-01,Biratnagar,Jackets,Bohemian/Indie,31-40,0
2025-01-01,Biratnagar,Pants,American Streetwear,20-24,0
2025-01-01,Biratnagar,Pants,Bohemian/Indie,15-19,5
2025-01-01,Biratnagar,Pants,Classic Minimalist,25-30,3
2025-01-01,Biratnagar,Pants,Classic Minimalist,31-40,0
2025-01-01,Biratnagar,Pants,K-Fashion Enthusiast,20-24,0
2025-01-01,Biratnagar,T-Shirts,Bohemian/Indie,20-24,0
2025-01-01,Biratnagar,T-Shirts,Bohemian/Indie,25-30,4
2025-01-01,Biratnagar,T-Shirts,Classic Minimalist,20-24,3
2025-01-01,Biratnagar,T-Shirts,Classic Minimalist,31-40,4
2025-01-01,Biratnagar,T-Shirts,K-Fashion Enthusiast,15-19,8
2025-01-01,Biratnagar,T-Shirts,K-Fashion Enthusiast,31-40,3
2025-01-01,Kathmandu,Cargo Pants,Bohemian/Indie,31-40,0
2025-01-01,Kathmandu,Cargo Pants,Classic Minimalist,25-30,0
2025-01-01,Kathmandu,Cargo Pants,K-Fashion Enthusiast,20-24,5
2025-01-01,Kathmandu,Cargo Pants,K-Fashion Enthusiast,31-40,1
2025-01-01,Kathmandu,Crop Tops,Bohemian/Indie,15-19,5
2025-01-01,Kathmandu,Crop Tops,Bohemian/Indie,20-24,7
2025-01-01,Kathmandu,Crop Tops,Bohemian/Indie,25-30,1
2025-01-01,Kathmandu,Crop Tops,K-Fashion Enthusiast,25-30,5
2025-01-01,Kathmandu,Hoodies,American Streetwear,15-19,15
2025-01-01,Kathmandu,Hoodies,American Streetwear,20-24,22
2025-01-01,Kathmandu,Hoodies,Bohemian/Indie,31-40,8
2025-01-01,Kathmandu,Jackets,American Streetwear,15-19,0
2025-01-01,Kathmandu,Jackets,Classic Minimalist,20-24,3
2025-01-01,Kathmandu,Jackets,Classic Minimalist,25-30,6
2025-01-01,Kathmandu,Jackets,K-Fashion Enthusiast,25-30,5
2025-01-01,Kathmandu,Pants,American Streetwear,15-19,11
2025-01-01,Kathmandu,Pants,American Streetwear,31-40,6
2025-01-01,Kathmandu,Pants,Bohemian/Indie,25-30,1
2025-01-01,Kathmandu,Pants,Classic Minimalist,15-19,5
2025-01-01,Kathmandu,Pants,K-Fashion Enthusiast,20-24,2
2025-01-01,Kathmandu,Pants,K-Fashion Enthusiast,31-40,5
2025-01-01,Kathmandu,T-Shirts,American Streetwear,31-40,0
2025-01-01,Kathmandu,T-Shirts,Classic Minimalist,15-19,6
2025-01-01,Kathmandu,T-Shirts,Classic Minimalist,20-24,8
2025-01-01,Kathmandu,T-Shirts,Classic Minimalist,25-30,1
2025-01-01,Kathmandu,T-Shirts,K-Fashion Enthusiast,25-30,7
2025-01-01,Kathmandu,T-Shirts,K-Fashion Enthusiast,31-40,0
2025-01-01,Lalitpur,Cargo Pants,Classic Minimalist,25-30,6
2025-01-01,Lalitpur,Cargo Pants,Classic Minimalist,31-40,5
2025-01-01,Lalitpur,Crop Tops,American Streetwear,20-24,1
2025-01-01,Lalitpur,Crop Tops,Classic Minimalist,25-30,3
2025-01-01,Lalitpur,Crop Tops,K-Fashion Enthusiast,15-19,0
2025-01-01,Lalitpur,Crop Tops,K-Fashion Enthusiast,20-24,3
2025-01-01,Lalitpur,Hoodies,Bohemian/Indie,15-19,1
2025-01-01,Lalitpur,Hoodies,Bohemian/Indie,20-24,0
2025-01-01,Lalitpur,Hoodies,Bohemian/Indie,25-30,1
2025-01-01,Lalitpur,Hoodies,Bohemian/Indie,31-40,2
2025-01-01,Lalitpur,Hoodies,Classic Minimalist,20-24,4
2025-01-01,Lalitpur,Hoodies,Classic Minimalist,25-30,4
2025-01-01,Lalitpur,Hoodies,K-Fashion Enthusiast,15-19,0
2025-01-01,Lalitpur,Hoodies,K-Fashion Enthusiast,20-24,3
2025-01-01,Lalitpur,Jackets,American Streetwear,15-19,2
2025-01-01,Lalitpur,Jackets,American Streetwear,25-30,1
2025-01-01,Lalitpur,Jackets,American Streetwear,31-40,3
2025-01-01,Lalitpur,Jackets,Bohemian/Indie,31-40,7
2025-01-01,Lalitpur,Jackets,Classic Minimalist,15-19,1
2025-01-01,Lalitpur,Jackets,Classic Minimalist,20-24,0
2025-01-01,Lalitpur,Pants,American Streetwear,15-19,1
2025-01-01,Lalitpur,Pants,American Streetwear,25-30,4
2025-01-01,Lalitpur,Pants,Classic Minimalist,31-40,2
2025-01-01,Lalitpur,Pants,K-Fashion Enthusiast,15-19,0
