PostDate,PostID,City,AgeGroup,Gender,Caption,Hashtags,StylePersona,Likes
2024-11-01,200002,Kathmandu,15-19,Male,Thrift finds this weekend. #kstyle,#kstyle,K-Fashion Enthusiast,27
2024-11-01,200003,Kathmandu,20-24,Male,New drop in Kathmandu! #seoulvibes #kstyle,#seoulvibes #kstyle,K-Fashion Enthusiast,29
2024-11-01,200007,Kathmandu,15-19,Male,Minimal fit for the office. #hoodie #oversized,#hoodie #oversized,American Streetwear,28
2024-11-01,200009,Kathmandu,15-19,Male,New drop in Kathmandu! #vintage,#vintage,Bohemian/Indie,29
2024-11-01,200011,Kathmandu,20-24,Male,Layering today: hoodie + jacket. #streetwear,#streetwear,American Streetwear,32
2024-11-01,200020,Kathmandu,20-24,Male,Layering today: hoodie + jacket. #minimalist #neutral,#minimalist #neutral,Classic Minimalist,35
2024-11-01,200022,Kathmandu,20-24,Male,New drop in Kathmandu! #neutral,#neutral,Classic Minimalist,34
2024-11-01,200025,Kathmandu,15-19,Male,Layering today: hoodie + jacket. #vintage #indievibes,#vintage #indievibes,Bohemian/Indie,32
2024-11-01,200031,Kathmandu,20-24,Male,New drop in Kathmandu! #nepalstreetstyle,#nepalstreetstyle,American Streetwear,24
2024-11-01,200035,Kathmandu,20-24,Male,Layering today: hoodie + jacket. #streetwear #hoodie,#streetwear #hoodie,American Streetwear,32
2024-11-01,200043,Kathmandu,15-19,Male,New drop in Kathmandu! #boho,#boho,Bohemian/Indie,42
2024-11-01,200050,Kathmandu,15-19,Male,Thrift finds this weekend. #capsulewardrobe,#capsulewardrobe,Classic Minimalist,26
2024-11-01,200063,Kathmandu,20-24,Male,Minimal fit for the office. #seoulvibes,#seoulvibes,K-Fashion Enthusiast,32
2024-11-01,200066,Kathmandu,20-24,Male,Minimal fit for the office. #streetwear #oversized,#streetwear #oversized,American Streetwear,29
2024-11-01,200071,Kathmandu,20-24,Male,Layering today: hoodie + jacket. #neutral #cleanfit,#neutral #cleanfit,Classic Minimalist,32
2024-11-01,200072,Kathmandu,15-19,Male,Minimal fit for the office. #hoodie #streetwear,#hoodie #streetwear,American Streetwear,28
2024-11-01,200073,Kathmandu,20-24,Male,Minimal fit for the office. #streetwear #hoodie,#streetwear #hoodie,American Streetwear,33
2024-11-01,200074,Kathmandu,20-24,Male,New drop in Kathmandu! #neutral #cleanfit,#neutral #cleanfit,Classic Minimalist,23
2024-11-02,200076,Kathmandu,15-19,Male,Minimal fit for the office. #hoodie,#hoodie,American Streetwear,29
2024-11-02,200081,Kathmandu,15-19,Male,Street check in Kathmandu — #kfashion #kpop,#kfashion #kpop,K-Fashion Enthusiast,28
2024-11-02,200090,Kathmandu,20-24,Male,Street check in Kathmandu — #kpop,#kpop,K-Fashion Enthusiast,28
2024-11-02,200093,Kathmandu,15-19,Male,Street check in Kathmandu — #kpop,#kpop,K-Fashion Enthusiast,23
2024-11-02,200098,Kathmandu,20-24,Male,New drop in Kathmandu! #kfashion #nepalakpop,#kfashion #nepalakpop,K-Fashion Enthusiast,29
2024-11-02,200102,Kathmandu,20-24,Male,New drop in Kathmandu! #cargo,#cargo,Bohemian/Indie,32
2024-11-02,200103,Kathmandu,20-24,Male,Street check in Kathmandu — #kstyle,#kstyle,K-Fashion Enthusiast,28
2024-11-02,200104,Kathmandu,20-24,Male,New drop in Kathmandu! #denim,#denim,American Streetwear,36
2024-11-02,200107,Kathmandu,20-24,Male,New drop in Kathmandu! #indievibes #cargo,#indievibes #cargo,Bohemian/Indie,36
2024-11-02,200113,Kathmandu,15-19,Male,Thrift finds this weekend. #kstyle,#kstyle,K-Fashion Enthusiast,27
2024-11-02,200115,Kathmandu,20-24,Male,Layering today: hoodie + jacket. #cleanfit,#cleanfit,Classic Minimalist,22
2024-11-02,200121,Kathmandu,20-24,Male,Layering today: hoodie + jacket. #cargo #boho,#cargo #boho,Bohemian/Indie,20
2024-11-02,200130,Kathmandu,20-24,Male,Layering today: hoodie + jacket. #capsulewardrobe #cleanfit,#capsulewardrobe #cleanfit,Classic Minimalist,27
2024-11-02,200131,Kathmandu,15-19,Male,New drop in Kathmandu! #streetwear #hoodie,#streetwear #hoodie,American Streetwear,36
2024-11-02,200133,Kathmandu,15-19,Male,New drop in Kathmandu! #nepalstreetstyle,#nepalstreetstyle,American Streetwear,30
