PostDate,PostID,City,AgeGroup,Gender,Caption,Hashtags,StylePersona,Likes
2024-11-01,200000,Kathmandu,31-40,Female,Street check in Kathmandu — #indievibes #handmade,#indievibes #handmade,Bohemian/Indie,24
2024-11-01,200001,Pokhara,15-19,Female,Layering today: hoodie + jacket. #kpop #seoulvibes,#kpop #seoulvibes,K-Fashion Enthusiast,27
2024-11-01,200002,Kathmandu,15-19,Male,Thrift finds this weekend. #kstyle,#kstyle,K-Fashion Enthusiast,27
2024-11-01,200003,Kathmandu,20-24,Male,New drop in Kathmandu! #seoulvibes #kstyle,#seoulvibes #kstyle,K-Fashion Enthusiast,29
2024-11-01,200004,Kathmandu,31-40,Female,Layering today: hoodie + jacket. #seoulvibes #kpop,#seoulvibes #kpop,K-Fashion Enthusiast,28
2024-11-01,200005,Kathmandu,25-30,Male,Minimal fit for the office. #boho #indievibes,#boho #indievibes,Bohemian/Indie,29
2024-11-01,200006,Biratnagar,20-24,Female,Street check in Biratnagar — #streetwear #nepalstreetstyle,#streetwear #nepalstreetstyle,American Streetwear,25
2024-11-01,200007,Kathmandu,15-19,Male,Minimal fit for the office. #hoodie #oversized,#hoodie #oversized,American Streetwear,28
2024-11-01,200008,Kathmandu,15-19,Female,Minimal fit for the office. #nepalstreetstyle #denim,#nepalstreetstyle #denim,American Streetwear,27
2024-11-01,200009,Kathmandu,15-19,Male,New drop in Kathmandu! #vintage,#vintage,Bohemian/Indie,29
2024-11-01,200010,Lalitpur,15-19,Female,Thrift finds this weekend. #handmade,#handmade,Bohemian/Indie,20
2024-11-01,200011,Kathmandu,20-24,Male,Layering today: hoodie + jacket. #streetwear,#streetwear,American Streetwear,32
2024-11-01,200012,Kathmandu,20-24,Female,Minimal fit for the office. #oversized,#oversized,American Streetwear,28
2024-11-01,200013,Kathmandu,25-30,Male,New drop in Kathmandu! #hoodie #streetwear,#hoodie #streetwear,American Streetwear,23
2024-11-01,200014,Pokhara,20-24,Male,Thrift finds this weekend. #oversized #hoodie,#oversized #hoodie,American Streetwear,23
2024-11-01,200015,Lalitpur,15-19,Female,Street check in Lalitpur — #simplewear,#simplewear,Classic Minimalist,22
2024-11-01,200016,Pokhara,15-19,Female,New drop in Pokhara! #nepalstreetstyle,#nepalstreetstyle,American Streetwear,19
2024-11-01,200017,Bharatpur,20-24,Male,Street check in Bharatpur — #kstyle,#kstyle,K-Fashion Enthusiast,19
2024-11-01,200018,Bharatpur,20-24,Female,Minimal fit for the office. #cleanfit,#cleanfit,Classic Minimalist,19
2024-11-01,200019,Pokhara,15-19,Male,Street check in Pokhara — #denim #nepalstreetstyle,#denim #nepalstreetstyle,American Streetwear,19
2024-11-01,200020,Kathmandu,20-24,Male,Layering today: hoodie + jacket. #minimalist #neutral,#minimalist #neutral,Classic Minimalist,35
