PostDate,PostID,City,AgeGroup,Gender,Caption,Hashtags,StylePersona,Likes
2025-01-01,5000,Bharatpur,20-24,Male,Street check in Bharatpur — #nepalakpop,#nepalakpop,K-Fashion Enthusiast,30
2025-01-01,5001,Kathmandu,20-24,Female,Summer thrift finds. #streetstyle #oversized,#streetstyle #oversized,American Streetwear,44
2025-01-01,5002,Kathmandu,20-24,Female,Layering today: hoodie + jacket. #streetwear,#streetwear,American Streetwear,39
2025-01-01,5003,Bharatpur,15-19,Female,New drop I found in Bharatpur! #handmade,#handmade,Bohemian/Indie,26
2025-01-01,5004,Kathmandu,15-19,Female,Summer thrift finds. #nepalstreetstyle #hoodie,#nepalstreetstyle #hoodie,American Streetwear,45
2025-01-01,5005,Pokhara,25-30,Female,Street check in Pokhara — #kfashion #kpop,#kfashion #kpop,K-Fashion Enthusiast,32
2025-01-01,5006,Bharatpur,15-19,Male,Minimal fit for the office. #streetstyle #nepalstreetstyle,#streetstyle #nepalstreetstyle,American Streetwear,23
2025-01-01,5007,Kathmandu,31-40,Male,Summer thrift finds. #nepalakpop #kpop,#nepalakpop #kpop,K-Fashion Enthusiast,41
2025-01-01,5008,Kathmandu,20-24,Male,New drop I found in Kathmandu! #kpop,#kpop,K-Fashion Enthusiast,39
2025-01-01,5009,Lalitpur,20-24,Male,Street check in Lalitpur — #indievibes #cargo,#indievibes #cargo,Bohemian/Indie,24
2025-01-01,5010,Kathmandu,15-19,Female,Summer thrift finds. #oversized #hoodie,#oversized #hoodie,American Streetwear,41
2025-01-01,5011,Pokhara,31-40,Female,Minimal fit for the office. #cargo #indievibes,#cargo #indievibes,Bohemian/Indie,16
2025-01-01,5012,Bharatpur,20-24,Male,Street check in Bharatpur — #handmade #cargo,#handmade #cargo,Bohemian/Indie,25
2025-01-01,5013,Kathmandu,20-24,Female,Summer thrift finds. #streetstyle #nepalstreetstyle,#streetstyle #nepalstreetstyle,American Streetwear,37
2025-01-01,5014,Lalitpur,25-30,Male,Layering today: hoodie + jacket. #handmade,#handmade,Bohemian/Indie,34
2025-01-01,5015,Kathmandu,15-19,Female,Street check in Kathmandu — #cleanfit #capsulewardrobe,#cleanfit #capsulewardrobe,Classic Minimalist,44
